epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1243.7,0.74779,0.61985,1.00556,0.69752,0.83333,0.81233,0.71728,0.61339,1.17666,1.02592,0.000539275,0.000539275,0.000539275
43,1270.99,0.76385,0.61819,1.02988,0.76962,0.83333,0.89028,0.77444,0.60585,1.08196,1.01201,0.000511769,0.000511769,0.000511769
44,1295.57,0.76192,0.57032,1.0086,0.78389,0.83333,0.88308,0.77002,0.60768,1.01693,1.06554,0.000484263,0.000484263,0.000484263
45,1317.87,0.72991,0.56096,0.994,0.78389,0.83333,0.88308,0.77002,0.60768,1.01693,1.06554,0.000456758,0.000456758,0.000456758
46,1340.66,0.76926,0.63887,1.06215,0.88395,0.83333,0.92271,0.82423,0.63115,0.88196,1.10161,0.000429253,0.000429253,0.000429253
47,1367.22,0.72385,0.60721,1.01789,0.93061,0.90463,0.939,0.83745,0.6175,0.77762,1.11198,0.000401747,0.000401747,0.000401747
48,1400.4,0.72265,0.57573,0.99116,0.90501,0.91667,0.9342,0.83818,0.56789,0.72279,1.04174,0.000374242,0.000374242,0.000374242
49,1436.54,0.72195,0.63342,0.97759,0.90501,0.91667,0.9342,0.83818,0.56789,0.72279,1.04174,0.000346736,0.000346736,0.000346736
50,1472.87,0.6935,0.55541,0.98715,0.91135,0.91667,0.92797,0.84008,0.53488,0.6702,1.00071,0.000319231,0.000319231,0.000319231
51,1511.06,0.65616,0.75212,0.95658,0.96466,0.91667,0.93587,0.84562,0.52512,0.6319,0.99438,0.000291725,0.000291725,0.000291725
52,1541.01,0.62443,0.67153,0.97205,0.97869,0.91667,0.95864,0.86512,0.51619,0.53923,0.9848,0.00026422,0.00026422,0.00026422
53,1563.9,0.66802,0.55248,0.97302,0.97869,0.91667,0.95864,0.86512,0.51619,0.53923,0.9848,0.000236714,0.000236714,0.000236714
54,1586.65,0.67137,0.50929,1.02354,0.98036,0.91667,0.975,0.88425,0.51239,0.48512,0.97924,0.000209209,0.000209209,0.000209209
55,1609.93,0.64477,0.52151,0.96585,0.97801,0.99697,0.995,0.89956,0.50577,0.43149,0.9913,0.000181703,0.000181703,0.000181703
56,1633.79,0.67283,0.54842,0.95232,0.98563,1,0.995,0.89607,0.49254,0.40962,1.00313,0.000154198,0.000154198,0.000154198
57,1656.89,0.62798,0.53903,1.00056,0.98563,1,0.995,0.89607,0.49254,0.40962,1.00313,0.000126692,0.000126692,0.000126692
58,1680.41,0.62197,0.51468,0.96157,0.98726,1,0.995,0.90608,0.48067,0.38945,1.00185,9.91865e-05,9.91865e-05,9.91865e-05
59,1703.41,0.61092,0.50575,0.91738,0.98612,1,0.995,0.91781,0.47351,0.3641,1.0025,7.1681e-05,7.1681e-05,7.1681e-05
60,1726.64,0.62464,0.66193,0.96794,0.98584,1,0.995,0.91783,0.46123,0.34752,0.99324,4.41755e-05,4.41755e-05,4.41755e-05
